Workflow,State,Permission,Roles
codt_buildlicence_workflow,complete,Manage properties,"Contributor, Editor, Manager"
codt_buildlicence_workflow,inacceptable,Review portal content,"Reviewer, Manager"
codt_buildlicence_workflow,inacceptable,Modify portal content,"Editor, Contributor, Manager"
codt_buildlicence_workflow,inacceptable,Acces contents information,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,inacceptable,Modify view template,Manager
codt_buildlicence_workflow,inacceptable,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
codt_buildlicence_workflow,inacceptable,Delete objects,"Editor, Contributor, Manager"
codt_buildlicence_workflow,inacceptable,Add portal content,"Editor, Contributor, Manager"
codt_buildlicence_workflow,inacceptable,urban: Add CODT_UniqueLicenceInquiry,"Editor, Contributor, Manager"
codt_buildlicence_workflow,inacceptable,View,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,inacceptable,Access contents information,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,inacceptable,Manage properties,"Contributor, Editor, Manager"
codt_buildlicence_workflow,obsolete,List folder contents,"Contributor, Editor, ExternalReader, InternalReader, Manager, Reader, RoadEditor, RoadReader"
codt_buildlicence_workflow,obsolete,liege.urban: Internal Editor,"Contributor, Editor, Manager"
codt_buildlicence_workflow,obsolete,liege.urban: External Reader,"Contributor, Editor, ExternalReader, InternalReader, Manager, Reader, RoadReader"
codt_buildlicence_workflow,obsolete,Delete objects,"Contributor, Editor, Manager"
codt_buildlicence_workflow,obsolete,ATContentTypes: Add File,"Contributor, Editor, Manager"
codt_buildlicence_workflow,obsolete,urban: Add Contact,"Contributor, Editor, Manager"
codt_buildlicence_workflow,obsolete,liege.urban: Internal Reader,"Contributor, Editor, Manager, InternalReader"
codt_buildlicence_workflow,obsolete,liege.urban: Description Editor,"Contributor, Editor, Manager, AddressEditor"
codt_buildlicence_workflow,obsolete,View,"Contributor, Editor, ExternalReader, InternalReader, Manager, Reader, RoadReader"
codt_buildlicence_workflow,obsolete,ATContentTypes: Add Image,"Contributor, Editor, Manager"
codt_buildlicence_workflow,obsolete,urban: Add UrbanEvent,"Contributor, Editor, Manager"
codt_buildlicence_workflow,obsolete,liege.urban: Validate,"Contributor, Manager"
codt_buildlicence_workflow,obsolete,liege.urban: Habitation Editor,"Manager, AddressEditor"
codt_buildlicence_workflow,obsolete,urban: Add Applicant,"Contributor, Editor, Manager"
codt_buildlicence_workflow,obsolete,urban: Add CODT_Inquiry,"Contributor, Editor, Manager"
codt_buildlicence_workflow,obsolete,liege.urban: Road Reader,"Contributor, Editor, Manager, Reader, RoadEditor, RoadReader"
codt_buildlicence_workflow,obsolete,liege.urban: Road Editor,"Contributor, Editor, Manager, RoadEditor"
